latitude,longitude,name,desc,address,city,state,zip,country,precision,color
0,0,"17. SOJOURNER TRUTH HOME,1119 East Adams Blvd.,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"18. ROBERTA STEPHENS VILLA,1113 East 27th Street,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"19. 27th STREET BAKERY,2700 S. Central,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"20. 28th STREET YMCA,1006 East 28th Street,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"21. ANGELUS FUNERAL HOME,1030 East Jefferson Boulevard,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"22. FLORENCE MILLS THEATER,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"23. 34th STREET FIRE STATION,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"24. ELKS LODGE/MUSLIM TEMPLE,4016 South Central,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"25. RALPH JOHNSON BUNCHE HOME,1221-23 East 40th Place,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"26. SOMERVILLE/DUNBAR HOTEL,4225 South Central Avenue,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"27. CLUB ALABAM,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"28. PEOPLE%u2019S FUNERAL HOME,4250 South Central Avenue,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"29. GOLDEN STATE MUTUAL LIFE INSURANCE,4263 S. Central,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"30. LOS ANGELES SENTINEL Newspaper,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"31. US POST OFFICE %u2013 Col. Leon H. Washington, Jr. Station,4352 South Central Avenue,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"32. VERNON/LEON H. WASHINGTON, JR BRANCH LIBRARY,4504 South Central Avenue,Los Angeles, CA",-,,,,,,Google error: Unknown address
33.998114,-118.467563,"25. VERNON AVENUE,,Los Angeles, CA","Vernon Ave, Los Angeles, CA 90291",Vernon Ave,Los Angeles,CA,90291,US,street
0,0,"1. DOLPHIN%u2019S OF HOLLYWOOD,1065 East Vernon Avenue,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"2. UNITED HOUSE OF PRAYER FOR ALL PEOPLE Daddy Grace%u2019s Church,1029 East Vernon Avenue,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"3. GEORGE WASHINGTON CARVER JR. HIGH SCHOOL,4410 McKinley Avenue,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"26. LOS ANGELES URBAN LEAGUE HEADQUARTERS,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"27. BALDWIN HILLS/VIEW PARK HOMES,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"28. DEGNAN BOULEVARD in LEIMERT PARK VILLAGE,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"29. LUNCH STOP %u2013 Mc Donald%u2019s,Crenshaw Blvd. @ 29th St.,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"30. BALDWIN HILLS CRENSHAW PLAZA,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"31. ANGELUS FUNERAL HOME,3875 Crenshaw Boulevard,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"32. L.A. URBAN LEAGUE AUTOMOTIVE TRAINING CENTER,,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"33. LOS ANGELES SENTINEL newspaper %u2013 3800 Crenshaw Blvd.,Los Angeles, CA",-,,,,,,Google error: Unknown address
0,0,"34. SMITH & SONS (APT),3373 Crenshaw Boulevard,Los Angeles, CA",-,,,,,,Google error: Unknown address
